school,park,mrt,rob,publand,robbery,urban_proj,monitor,idle,DistanceType1_School,DistanceType1_Park,DistanceType1_MRT,DistanceType1_ROB,DistanceType2_School,DistanceType2_Park,DistanceType2_MRT,DistanceType2_ROB,MonitorType1,MonitorType2,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,output
0.3153175493,0.009245423102,0.4305299532,3.045497517,15745617.73,1,3150.9,1350,943.56,True,True,True,True,True,True,True,True,False,True,0.0012550999295172234,8,3,0.377546462801,0.0007407407407407407,11663.42054074074,24.271616094825184,True,1
0.0,0.07806397304,0.3046015422,0.4729246904,5953425.42,1,1120.77,1012,282.6,True,True,True,True,True,True,True,True,False,False,0.0,8,3,0.19133275762000002,0.0009881422924901185,5882.831442687747,22.33069825657978,True,1
0.4033810764,0.2046358705,0.5491569743,0.5584774592,7723327.91,4,1368.209961,1440,1361.68,True,True,True,True,True,True,True,True,False,True,0.04533084214195775,8,3,0.23143478424000002,0.002777777777777778,5363.422159722222,17.736156876374665,True,1
0.1323882766,0.1339905761,0.8855596839,2.323780843,15745617.73,1,3150.9,1350,943.56,True,True,True,True,True,True,True,True,False,True,0.015708749694093808,8,3,0.5759692683,0.0007407407407407407,11663.42054074074,24.271616094825184,True,1
0.1905452511,0.2287481722,1.573253009,2.628192558,28233710.05,2,6236.82,1480,457.06,True,True,True,True,True,True,True,True,False,True,0.06857318682563343,8,3,0.6641821441000001,0.0013513513513513514,19076.831114864865,25.818144652153354,True,1
0.07940341714,0.1530268325,0.4430247603,0.2184684919,3740889.23,9,885.22,1009,0.0,True,True,True,True,True,True,True,True,False,False,0.005383128921448212,8,3,0.067545500994,0.008919722497522299,3707.52153617443,21.92067010484767,True,1
0.07940341714,0.1530268325,0.4430247603,0.2184684919,3740889.23,9,885.22,1009,0.0,True,True,True,True,True,True,True,True,False,False,0.005383128921448212,8,3,0.067545500994,0.008919722497522299,3707.52153617443,21.92067010484767,True,1
0.1647951974,0.04498887613,0.6863193392,0.4953554932,7723327.91,4,1368.209961,1440,1361.68,True,True,True,True,True,True,True,True,False,True,0.005088337760828794,8,3,0.17922068254600002,0.002777777777777778,5363.422159722222,17.736156876374665,True,1
0.2023117389,0.1550756065,0.543153361,0.4790634836,5953425.42,1,1120.77,1012,282.6,True,True,True,True,True,True,True,True,False,False,0.01704068476637289,8,3,0.4502703532,0.0009881422924901185,5882.831442687747,22.33069825657978,True,1
0.04615013732,0.08680858023,0.6501123883,0.7361829034,28233710.05,2,6236.82,1480,457.06,True,True,True,True,True,True,True,True,False,True,0.002604498386952567,8,3,0.26102370194999996,0.0013513513513513514,19076.831114864865,25.818144652153354,True,1
0.2902537615,0.2415851641,0.01804343639,1.469988506,7723327.91,4,1368.209961,1440,1361.68,True,True,True,True,True,True,True,True,False,True,0.0012652238500633942,8,3,0.10997647239799999,0.002777777777777778,5363.422159722222,17.736156876374665,True,1
0.07940341714,0.1530268325,0.4430247603,0.2184684919,3740889.23,9,885.22,1009,0.0,True,True,True,True,True,True,True,True,False,False,0.005383128921448212,8,3,0.067545500994,0.008919722497522299,3707.52153617443,21.92067010484767,True,1
0.07940341714,0.1530268325,0.4430247603,0.2184684919,3740889.23,9,885.22,1009,0.0,True,True,True,True,True,True,True,True,False,False,0.005383128921448212,8,3,0.067545500994,0.008919722497522299,3707.52153617443,21.92067010484767,True,1
