address,lat,lng,district,publand,robbery,urban_proj,monitor,idle,school,park,mrt,rob,output,STD_publand,STD_robbery,STD_urban_proj,STD_monitor ,STD_idle,DistanceType1_School,DistanceType1_Park,DistanceType1_MRT,DistanceType1_ROB,DistanceType2_School,DistanceType2_Park,DistanceType2_MRT,DistanceType2_ROB,MonitorType1,MonitorType2,Feature1 ,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8
台灣省臺北市北投區崗山路15號,25.140967,121.486289,北投區,32634930.67,3,5682.16,1300,379.25,0.2745678784,0.1769414344,0.2937153302,1.391209346,0,1.656091805,0.01049033709,1.327636129,-0.1056586882,0.04370169275,1,1,1,1,0,1,1,1,0,0,0.01426940571,7,2,0.1863061607,0.001070161035,25103.79282,25.87690477,0
台灣省臺北市中正區林森北路2號,25.0456905,121.5237756,中正區,4852832.46,4,760.71,1869,368.2,0.05579962961,0.3514417943,0.0699081442,0.5074253678,0,-0.8058282611,0.4160574372,-0.9124688892,1.633331004,0.01436141284,1,1,1,1,1,0,1,1,1,1,0.001370921215,7,2,0.09542991362,0.0002714956489,2596.486067,21.36763512,0
台灣省臺北市北投區復興一路19號,25.139812,121.502428,北投區,32634930.67,3,5682.16,1300,379.25,0.2466288042,0.0959658457,0.176088875,0.7708969446,0,1.656091805,0.01049033709,1.327636129,-0.1056586882,0.04370169275,1,1,1,1,0,1,1,1,0,0,0.00416766124,7,2,0.1296708812,0.0005929976497,25103.79282,25.87690477,0
台灣省臺北市信義區莊敬路32號,25.0342706,121.5606695,信義區,5953425.42,1,1120.77,1012,282.6,0.2674721491,0.1579778578,0.1791389322,2.25838231,0,-0.7082988422,-0.8006438631,-0.7485797482,-0.9858503075,-0.2129261854,1,1,1,1,0,1,1,0,0,0,0.007569457743,6,2,0.3022944696,0.002231603073,5882.831443,22.33069826,0
台灣省臺北市中正區永春街17號,25.0146683,121.5269094,中正區,4852832.46,4,760.71,1869,368.2,0.147850971,0.6139317994,0.412423704,0.5680303581,0,-0.8058282611,0.4160574372,-0.9124688892,1.633331004,0.01436141284,1,0,1,1,1,0,1,1,1,1,0.03743586981,6,2,0.2348412949,0.000303922075,2596.486067,21.36763512,1
台灣省臺北市北投區崇仰九路30號,25.1301233,121.5143069,北投區,32634930.67,3,5682.16,1300,379.25,0.6518259062,0.4907834087,0.9749921271,1.625098344,0,1.656091805,0.01049033709,1.327636129,-0.1056586882,0.04370169275,0,0,1,1,0,0,0,0,0,0,0.311905188,2,0,0.5294003605,0.00125007565,25103.79282,25.87690477,0
台灣省臺北市北投區中華街35號,25.141676,121.5025484,北投區,32634930.67,3,5682.16,1300,379.25,0.2006170786,0.1909125469,0.2918138783,0.675951012,0,1.656091805,0.01049033709,1.327636129,-0.1056586882,0.04370169275,1,1,1,1,1,1,1,1,0,0,0.01117656417,8,3,0.1708358759,0.0005199623169,25103.79282,25.87690477,1
台灣省臺北市南港區港東街26號,25.0564119,121.6208091,南港區,9032463.69,0,2184.24,738,0,0.3637133847,0.4478284941,0.3426962747,1.071701963,0,-0.4354488204,-1.206210963,-0.2645182452,-1.823254834,-0.963293887,1,0,1,1,0,0,1,1,0,0,0.05581878639,5,1,1.154238153,0.001452170682,12239.11069,23.70535894,0
台灣省臺北市士林區磺溪街9號,25.1056306,121.5228845,士林區,28233710.05,2,6236.82,1480,457.06,0.1905489852,0.1155368955,0.1650114437,1.219806926,0,1.266076146,-0.395076763,1.580101693,0.4444610739,0.2503050575,1,1,1,1,1,1,1,1,0,1,0.003632799241,8,3,0.1570324415,0.0008241938688,19076.83111,25.81814465,1
台灣省臺北市萬華區西藏路20號,25.0307484,121.507422,萬華區,3740889.23,9,885.22,1009,0,0.1960354062,0.5007067227,0.5616622392,0.6877884383,0,-0.904363488,2.443892938,-0.8557954543,-0.9950189702,-0.963293887,1,0,1,1,1,0,1,1,0,0,0.05513065679,6,2,0.1258404368,0.0006816535562,3707.521536,21.9206701,1
