id,school name,Address,Response_Address,lng,lat
1354,新北市私立哈佛園幼兒園,新北市三重區永豐里16鄰永福街179巷6號1，2樓，3樓,新北市三重區永豐里16鄰永福街179巷6號,121.478832,25.074943
1355,新北市私立重愛幼兒園,新北市三重區田中里10鄰忠孝路三段40巷1之1號1、2樓,新北市三重區田中里10鄰忠孝路三段40巷1之1號,121.481724,25.066462
1356,新北市私立重愛幼兒園三民分班,新北市三重區福田里1鄰三民街206之2號2樓,新北市三重區福田里1鄰三民街206之2號,121.480751,25.066499
1357,新北市私立溫德爾幼兒園,新北市五股區德音里24鄰成泰路一段132號1、2、3樓,新北市五股區德音里24鄰成泰路一段132號,121.435288,25.075372
1358,新北市私立菲力復興幼兒園,新北市新店區信義里1鄰寶元路一段15巷9號1-2樓、11號1-2樓,新北市新店區信義里1鄰寶元路一段15巷9號,121.541754,24.987099
1359,新北市私立山姆叔叔板橋幼兒園,新北市板橋區松翠里2鄰文化路二段348號1樓、2樓及3樓,新北市板橋區松翠里2鄰文化路二段348號,121.473106,25.030515
1360,新北市私立祐昇幼兒園,新北市蘆洲區樓厝里9鄰中興街177號1樓,新北市蘆洲區樓厝里9鄰中興街177號,121.481926,25.089831
1361,新北市私立威頓皇家幼兒園,新北市汐止區福安里6鄰仁愛路168號2樓之1及170號1、2樓、2樓之1,新北市汐止區福安里6鄰仁愛路168號,121.66441,25.065252
1362,新北市私立聯華幼兒園,新北市新店區新安里6鄰北新路2段186號1-2樓,新北市新店區新安里6鄰北新路二段186號,121.543056,24.976334
1363,新北市私立西雅圖幼兒園,新北市蘆洲區正義里3鄰光榮路96號1樓,新北市蘆洲區正義里3鄰光榮路96號,121.463973,25.088964
1364,新北市私立愛莉幼兒園,新北市汐止區中興里2鄰福德二路125巷6弄2號1樓,新北市汐止區中興里27鄰福德二路125巷6弄2號,121.631155,25.064979
1365,新北市私立溫德爾林口幼兒園,新北市林口區湖南里11鄰中正路518之1號,新北市林口區湖南里11鄰中正路518之1號,121.381606,25.077437
1366,財團法人耕莘健康管理專科學校附設新北市私立實驗幼兒園,新北市新店區百和里14鄰民族路112號1、2樓,新北市新店區百和里14鄰民族路112號,121.53548,24.976146
1367,新北市私立朱徠德幼兒園,新北市鶯歌區鳳祥里7鄰鶯桃路301號1、2樓,新北市鶯歌區鳳祥里7鄰鶯桃路301號,121.333703,24.960844
1368,新北市私立康橋幼兒園,新北市蘆洲區仁德里18鄰鷺江街97號1樓及93號、95號、97號2樓,新北市蘆洲區仁德里18鄰鷺江街97號,121.476797,25.08388
1369,新北市私立馨園幼兒園,新北市蘆洲區正義里8鄰長樂路79號1樓,新北市蘆洲區正義里8鄰長樂路79號,121.462521,25.086818
1370,新北市私立藍天永和幼兒園,新北市永和區雙和里1鄰中和路375號3樓,新北市永和區雙和里1鄰中和路375號,121.508332,24.99988
1371,新北市私立愛唯揚幼兒園,新北市板橋區文聖里12鄰大同街97號1、2、3樓,新北市板橋區文聖里12鄰大同街97號,121.480076,25.028487
1372,新北市私立鼎群幼兒園,新北市三重區光華里12鄰福德北路50號1樓,新北市三重區光華里12鄰福德北路50號,121.50189,25.065664
1373,新北市私立宏米優質幼兒園,新北市汐止區仁德里6鄰和平街10、18、20號1樓,新北市汐止區仁德里13鄰和平街72號,121.661727,25.070857
1374,新北市私立博智幼兒園,新北市樹林區東陽里4鄰鎮前街367巷5號、5-1號、5-2號,新北市樹林區東陽里4鄰鎮前街367巷5號,121.416388,24.983356
1375,新北市私立新學林幼兒園,新北市三重區五華里3鄰仁義街307號1、2樓,新北市三重區五華里3鄰仁義街307號,121.495729,25.084011
1376,新北市山北非營利幼兒園（委託財團法人三之三生命教育基金會辦理）,新北市中和區福美里7鄰莊敬路49巷29弄2號2-3樓,新北市中和區福美里7鄰莊敬路49巷29弄2號,121.501681,25.00646
1377,新北市私立育格幼兒園,新北市瑞芳區吉安里5鄰大埔路國宅新村30之1號1-2樓,新北市瑞芳區吉安里5鄰大埔路國宅新村30之1號,121.764484,25.10028
1378,新北市私立喬幼國際幼兒園,新北市永和區雙和里4鄰中和路435號1-2樓,新北市永和區雙和里4鄰中和路435號,121.509467,25.001021
1379,新北市私立徠安幼兒園,新北市三重區光明里13鄰重安街12號1、2樓,新北市三重區光明里13鄰重安街12號,121.490212,25.058402
1380,新北市私立何嘉仁昌隆幼兒園,新北市新莊區信義里25鄰昌隆街67號2樓、69號2樓、75號2樓,新北市新莊區信義里25鄰昌隆街67號,121.456973,25.05101
1381,新北市私立勁寶兒林口幼兒園,新北市林口區西林里27鄰隆林街101巷2號1、2、3樓,新北市林口區西林里27鄰隆林街101巷2號,121.384872,25.074569
1382,新北市私立水星幼兒園,新北市新店區寶福里15鄰寶興路42巷25號1樓,新北市新店區寶福里15鄰寶興路42巷25號,121.548168,24.972052
1383,馬偕學校財團法人馬偕醫護管理專科學校附設新北市私立馬偕示範幼兒園,新北市三芝區古庄里1鄰中正路3段42號1樓,新北市三芝區古庄里1鄰中正路三段42號,121.498251,25.250399
1384,新北市私立藤井樹幼兒園,新北市三重區慈祐里25鄰五華街122巷3號(門牌整編含5號)1樓,新北市三重區慈祐里25鄰五華街122巷3號,121.491784,25.083189
1385,新北市私立普登幼兒園,新北市淡水區新義里13鄰中山北路一段151號2樓,新北市淡水區新義里13鄰中山北路一段151號,121.443117,25.177477
1386,新北市私立幼幼立大幼兒園,新北市新店區寶福里2鄰寶中路90號1樓,新北市新店區寶福里2鄰寶中路90號,121.548698,24.980276
1387,新北市私立慈霖幼兒園,新北市土城區學士里17鄰金城路二段211號1、2樓,新北市土城區學士里17鄰金城路二段211號,121.454531,24.982023
1388,新北市私立維尼芽幼兒園,新北市新莊區後港里24鄰後港一路76巷14弄3號1樓、建安街40巷7號1樓,新北市新莊區後港里24鄰後港一路76巷14弄3號,121.427159,25.025497
1389,新北市私立貝吉堡幼兒園,新北市中和區錦中里8鄰錦和路203巷1號、203巷1號2樓（門牌整編含201號、201之1號）,新北市中和區錦中里8鄰錦和路203巷1號,121.490986,24.990507
1390,新北市私立多比幼兒園,新北市蘆洲區恆德里21鄰重陽街50號、52號1樓,新北市蘆洲區恆德里21鄰重陽街50號,121.481515,25.083275
1391,新北市私立大世紀幼兒園,新北市新莊區思賢里2鄰公園路129號2樓,新北市新莊區思賢里2鄰公園路129號,121.457434,25.040834
1392,新北市私立人文幼兒園,新北市八里區頂罟里5鄰仁一街1號1、2、3樓,新北市八里區頂罟里5鄰仁一街1號,121.410552,25.157599
1393,新北市私立英格麗幼兒園,新北市淡水區福德里2鄰自強路110號1、2樓,新北市淡水區福德里2鄰自強路110號,121.461755,25.131364
1394,新北市私立淯馨幼兒園,新北市永和區秀林里1鄰秀朗路二段98號、100號,新北市永和區秀林里1鄰秀朗路二段98號,121.523715,25.001555
1395,新北市私立小豆芽四維幼兒園,新北市板橋區明翠里15鄰四維路257號2樓,新北市板橋區明翠里15鄰四維路257號,121.463409,25.028027
1396,新北市私立童心幼兒園,新北市板橋區新民里8鄰文化路一段188巷30號1樓,新北市板橋區新民里8鄰文化路一段188巷30號,121.466399,25.019169
1397,新北市私立肯妮斯幼兒園,新北市三重區碧華里14鄰三信路7號1、2樓及9號2樓,新北市三重區碧華里14鄰三信路7號,121.488471,25.086364
1398,新北市私立悅慧幼兒園,新北市淡水區新春里11鄰新春街10巷2號1至2樓、10巷1號1樓,新北市淡水區新春里11鄰新春街10巷2號,121.437203,25.181169
1399,新北市私立成泰幼兒園,新北市五股區五股里16鄰成泰路2段91巷17號1樓,新北市五股區五股里16鄰成泰路二段91巷17號,121.437216,25.084121
1400,新北市私立茁壯園板橋幼兒園,新北市板橋區民族里1鄰民族路87號2樓,新北市板橋區民族里1鄰民族路87號,121.466162,25.008527
1401,新北市私立安尼爾幼兒園,新北市三重區溪美里22鄰仁政街111、113號1樓,新北市三重區溪美里16鄰仁政街205號,121.490651,25.080541
1402,新北市私立禾力幼兒園,新北市新店區公崙里15鄰安康路2段142巷14號1、2樓,新北市新店區公崙里15鄰安康路二段142巷14號,121.511895,24.962598
1403,新北市私立奧林匹克幼兒園,新北市中和區嘉慶里15鄰連城路533號2樓,新北市中和區嘉慶里15鄰連城路533號,121.480703,24.994865
1404,新北市私立連城幼兒園,新北市中和區嘉慶里15鄰連城路537號,新北市中和區嘉慶里15鄰連城路537號,121.480491,24.994817
