站名,lng,lat
大坪林,121.541619,24.982051
大坪林,121.541572,24.982982
大坪林,121.541405,24.983539
大坪林,121.543209,24.982859
景美,121.540933,24.992296
景美,121.541517,24.993069
景美,121.540546,24.992744
萬隆,121.538896,25.001367
萬隆,121.539613,25.00151
萬隆,121.539195,25.002215
萬隆,121.538572,25.002676
公館,121.534377,25.014509
公館,121.534721,25.014718
公館,121.534055,25.015413
公館,121.533623,25.015148
台電大樓,121.528577,25.01962
台電大樓,121.529093,25.020192
台電大樓,121.527849,25.021179
台電大樓,121.527297,25.021018
台電大樓,121.527739,25.020758
古亭,121.522973,25.025976
古亭,121.523353,25.025502
古亭,121.523353,25.026078
古亭,121.523069,25.026424
古亭,121.522873,25.027184
古亭,121.522297,25.027537
古亭,121.521937,25.02742
古亭,121.521894,25.027056
古亭,121.522404,25.026798
中正紀念堂,121.517764,25.033034
中正紀念堂,121.518261,25.032406
中正紀念堂,121.519,25.032281
中正紀念堂,121.51796,25.033525
中正紀念堂,121.517109,25.035148
中正紀念堂,121.516543,25.03588
中正紀念堂,121.515983,25.034565
小南門,121.509752,25.036434
小南門,121.509865,25.035736
小南門,121.510988,25.035309
小南門,121.511455,25.035226
頂溪,121.515414,25.012895
頂溪,121.515446,25.014222
永安市場,121.510962,25.002375
景安,121.504632,24.993731
南勢角,121.508639,24.990016
南勢角,121.508853,24.989919
南勢角,121.509395,24.989651
南勢角,121.509776,24.989486
台大醫院,121.515731,25.040913
台大醫院,121.516589,25.041224
台大醫院,121.516632,25.042808
台大醫院,121.516299,25.042876
台北車,121.516246,25.046755
台北車,121.516787,25.046234
台北車,121.518643,25.046077
台北車,121.517479,25.045948
台北車,121.518193,25.048232
台北車,121.519067,25.048064
台北車,121.517882,25.046337
台北車,121.517345,25.046485
雙連,121.520588,25.057499
雙連,121.520615,25.057825
民權西路,121.519454,25.062641
民權西路,121.519867,25.061936
民權西路,121.519786,25.061766
民權西路,121.519614,25.061878
民權西路,121.518558,25.063122
民權西路,121.51853,25.062693
民權西路,121.520092,25.06267
民權西路,121.520602,25.06266
民權西路,121.520744,25.063027
民權西路,121.519791,25.063063
圓山,121.520033,25.070785
圓山,121.520108,25.071776
劍潭,121.525175,25.08503
劍潭,121.524807,25.083466
劍潭,121.52496,25.084284
士林,121.525966,25.094106
士林,121.526433,25.092901
芝山,121.522636,25.102046
芝山,121.522356,25.103804
明德,121.519153,25.109298
明德,121.518728,25.110008
明德,121.518495,25.110163
石牌,121.515171,25.115007
石牌,121.516205,25.113602
唭哩岸,121.506987,25.120673
唭哩岸,121.50589,25.120854
奇岩,121.50096,25.126169
北投,121.49824,25.132316
北投,121.4992307,25.1310726
新北投,121.503524,25.136968
新北投,121.502455,25.136834
復興崗,121.485159,25.137325
復興崗,121.485373,25.137665
忠義,121.473169,25.131056
忠義,121.473657,25.130905
關渡,121.467215,25.125431
關渡,121.466861,25.12547
竹圍,121.459726,25.136971
竹圍,121.459383,25.136854
紅樹林,121.459039,25.154137
紅樹林,121.458583,25.153831
淡水,121.445355,25.168084
淡水,121.445988,25.167577
淡水,121.445573,25.167601
永寧,121.435254,24.966714
永寧,121.43568,24.966102
永寧,121.436799,24.966947
永寧,121.436412,24.967191
土城,121.444173,24.973251
土城,121.443671,24.972663
土城,121.445266,24.973714
海山,121.448615,24.985375
海山,121.448956,24.985329
海山,121.449127,24.98609
亞東醫院,121.452581,24.998933
亞東醫院,121.452388,24.998252
亞東醫院,121.45287,24.998875
府中,121.459077,25.008486
府中,121.459501,25.008943
府中,121.45897,25.009162
板橋,121.461754,25.013416
板橋,121.462483,25.013192
板橋,121.462589,25.014554
新埔,121.467457,25.023063
新埔,121.468176,25.0222
新埔,121.468574,25.022844
新埔,121.468728,25.023638
新埔,121.468138,25.024163
江子翠,121.471914,25.030298
江子翠,121.471903,25.029782
江子翠,121.472156,25.029459
江子翠,121.472719,25.029763
江子翠,121.473609,25.031027
江子翠,121.473126,25.031095
龍山寺,121.49953,25.035484
龍山寺,121.499798,25.035109
龍山寺,121.501622,25.035421
善導寺,121.523009,25.045097
善導寺,121.523053,25.044796
善導寺,121.523734,25.044568
善導寺,121.524217,25.044111
善導寺,121.52482,25.044256
善導寺,121.524898,25.044632
忠孝新生,121.532065,25.042103
忠孝新生,121.53368,25.041783
忠孝新生,121.533213,25.042458
忠孝新生,121.531829,25.042784
忠孝新生,121.532232,25.041214
忠孝新生,121.533068,25.040791
忠孝新生,121.533068,25.041729
忠孝敦化,121.550578,25.041642
忠孝敦化,121.551694,25.041632
忠孝敦化,121.551586,25.04134
忠孝敦化,121.550567,25.04135
忠孝敦化,121.549824,25.041238
忠孝敦化,121.549174,25.041029
忠孝敦化,121.549913,25.041661
忠孝敦化,121.549194,25.041928
國父紀念館,121.556663,25.041838
國父紀念館,121.556704,25.041029
國父紀念館,121.557981,25.041195
國父紀念館,121.558539,25.04117
國父紀念館,121.558002,25.041501
市政府,121.565459,25.041408
市政府,121.565062,25.040971
