pm_name,lng,lat,pm_location
北投192號綠地,121.48091125,25.122089386,大度路二段南側
北投203號綠地,121.5031,25.12065,公館路423巷11-17號前(區段徵收)
北投257號承德3號綠地,121.512199,25.10442,承德路六段上，北投士林科技園區(綠3，區段徵收)
北投39號綠地,121.462777,25.121984,聖景路140~150號前
北投62號綠地,121.503215,25.129382,磺港路上(清江路177巷口至清江路113巷口)
北投63號綠地,121.50334167,25.127590179,磺港路上(三合橋旁至清江路177巷口)
北投64號綠地,121.503285,25.126383,磺港路上(崇仁路一段131巷口至三合橋旁)
北投65號綠地,121.50305176,25.124689102,磺港路上(崇仁路一段155巷口至131巷口)
北投66號綠地,121.50296021,25.123739243000003,磺港路上(崇仁路一段155巷口兩側)
北投69號綠地,121.51203918,25.126020432,崇仰一路11號旁
北投88號綠地,121.5144446,25.1176296,立農街202巷9弄及義理街63巷旁(石牌綠帶系統)
北投90號綠地,121.52033234,25.118619919,石牌路二段臺北護理大學圍牆外(榮總對面)
北投91號綠地,121.52163696,25.119029999,石牌路二段上振興街口與天母西路口間(榮總急診入口處對面)
北投92號綠地,121.52227783,25.119260788,石牌路二段與天母西路、天母西路130巷間
北投98號綠地,121.51550293,25.115659714,石牌路二段上(東華街二段起至裕民三路口)
永和綠地,121.52793121,25.127910614,行義路98號附近
永欣綠地,121.52695,25.12384,石牌路二段371巷3號
田心仔綠地,121.49492645,25.135139465,中央北路二段257巷東側，大業路525巷6弄旁
安明綠地,121.502133,25.135616,光明路157巷2弄1號(七虎公園旁)
奇岩4號綠地,121.50554657,25.126039505,三合路一段，清江國小旁。
忠義公園,121.47792053,25.135019302,台北市北投區中央北路四段32號旁
承仙綠地,121.50263214,25.119680405,承德路7段.公館路交會東北側
明德綠地,121.52098083,25.10725975,東華街一段10號附近
林投坑(一)綠地,121.48937225,25.136749268000003,中央北路二段257號後(貴子坑溪至北投捷運機場北側)
林投坑(二)綠地,121.4890976,25.136510849,中央北路二段257號後(貴子坑溪至北投捷運機場南側)
湖山綠地,121.543830428476,25.1517872961329,台北市北投區湖山路一段
番仔厝綠地,121.49590302,25.134130478000003,大業路525巷及517巷之間
磅空頂綠地,121.46507263,25.122980118,大度路三段301巷28弄底，馬偕護校東側(原北投第二號公墓)
櫻花崗公園,121.52616,25.12349,石牌路二段與天母北路交叉口
北投3號廣場,121.49784088,25.131959915,北投路二段，捷運北投站前廣場(捷運局82年代辦重建)
北投6號廣場,121.50373077,25.13697052,大業路、光明路口，捷運新北投站前廣場(捷運局闢建)
41號公園,121.5644,25.10709,中社路雙溪國小對面
士林官邸公園,121.53015137,25.094900131,中山北路5段378巷以北/福林路.中山北路交叉口右側(士林官邸)
天母公園,121.530518,25.1259089,臺北市士林區中山北路7段141巷旁
天和一號公園,121.53471,25.11844,天母東路69巷口
天和公園,121.53398895,25.119819641,臺北市士林區天母東路69巷前
天壽公園,121.5256861,25.1140282,中山北路六段405巷右側
天壽公園,121.5256861,25.1140282,中山北路六段405巷右側
天福二號綠地,121.53160858,25.117090225,天母東路8巷25-1號對面
外雙溪公園,121.55239105,25.101270676,至善路2段284巷19號
仰德一號公園,121.53778076,25.100070953000003,仰德大道1段2-1號
仰德二號公園,121.53827667,25.099990845,仰德大道1段2-2號
名山公園,121.53237152,25.101549149,至誠路一段215號旁(雨農橋附近)
至善公園,121.53829193,25.098190308000003,臺北市士林區福林路、至善路口東北側
至誠公園,121.53668213,25.101089478,至誠路1段24號對面
至德園公園,121.54640198,25.098400116,至善路2段113巷
住六(公一)公園,121.55949250044912,25.13691396309928,臺北市陽明山住六(公一)重劃區  臺北市士林區富館街附近
住六(公二)公園,121.55764994426852,25.13760535221268,陽明山6-6重劃區(臺北市士林區草東街附近)
克強公園,121.521967,25.107985964,臺北市士林區磺溪街55巷
志成公園,121.53086,25.09669,臺北市士林區中正路與志成街交叉口
忠誠公園,121.52574158,25.103420258000003,臺北市士林區中山北路六段與忠誠路一段交叉口
承德公園,121.52198029,25.089660645,大南路138號對面
明勝公園,121.51918700000002,25.079968,承德路4段6巷56號旁
東和公園,121.5336861,25.1226002,臺北市士林區中山北路7段114巷旁
社子公園,121.50602722,25.090370178,臺北市士林區永平街20巷11弄3號對面
社正公園,121.51042175,25.087499619000003,中正路與重慶北路四段交叉處
