school,park,mrt,rob,publand,robbery,urban_proj,monitor,idle,DistanceType1_School,DistanceType1_Park,DistanceType1_MRT,DistanceType1_ROB,DistanceType2_School,DistanceType2_Park,DistanceType2_MRT,DistanceType2_ROB,MonitorType1,MonitorType2,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,output
0.40331867671643407,0.00972884843491665,0.6811098950480838,4.50843731631489,15745617.730000006,1,3150.9,1350,943.56,True,True,True,False,False,True,True,False,False,True,0.0026725569035409274,5,2,0.5470787100997173,0.0007407407407407407,11663.420540740744,24.271616094825184,False,1
0.0,0.08776236502121651,0.3218064338218394,0.5704842618256947,5953425.420000001,1,1120.77,1012,282.6,True,True,True,True,True,True,True,True,False,False,0.0,8,3,0.20478439942152793,0.0009881422924901185,5882.831442687748,22.33069825657978,True,1
0.41284929314080393,0.21415965024635253,0.49784625337088195,0.5504865873687632,7723327.910000004,4,1368.209961,1440,1361.68,True,True,True,True,False,True,True,True,False,True,0.04401740518157664,7,2,0.2249710393516077,0.002777777777777778,5363.422159722225,17.736156876374665,False,1
0.15606503511685657,0.17303876371058846,1.4124838413557221,2.1679863705140536,15745617.730000006,1,3150.9,1350,943.56,True,True,True,True,True,True,False,False,False,True,0.038144550919238795,6,2,0.8707938200915836,0.0007407407407407407,11663.420540740744,24.271616094825184,False,1
0.28496760409232874,0.34574862156876573,1.5936043542973188,3.327645801002231,28233710.04999989,2,6236.82,1480,457.06,True,True,True,False,True,False,False,False,False,True,0.1570133053068521,4,1,0.7414401933194711,0.0013513513513513514,19076.831114864788,25.81814465215335,False,1
0.12642158679386734,0.15201909538046265,0.4349113769338736,0.24785265049763033,3740889.2300000014,9,885.22,1009,0.0,True,True,True,True,True,True,True,True,False,False,0.008358342236544003,8,3,0.07133520591082036,0.008919722497522299,3707.5215361744313,21.92067010484767,True,1
0.12642158679386734,0.15201909538046265,0.4349113769338736,0.24785265049763033,3740889.2300000014,9,885.22,1009,0.0,True,True,True,True,True,True,True,True,False,False,0.008358342236544003,8,3,0.07133520591082036,0.008919722497522299,3707.5215361744313,21.92067010484767,True,1
0.2463923254676958,0.06640294949838844,0.940900910501782,0.451095482490192,7723327.910000004,4,1368.209961,1440,1361.68,True,True,True,True,True,True,False,True,False,True,0.015394246472443864,7,2,0.25073923709357326,0.002777777777777778,5363.422159722225,17.736156876374665,False,1
0.2560794936459872,0.16851474695219223,0.6722163472506777,0.6025182669941573,5953425.420000001,1,1120.77,1012,282.6,True,True,True,True,True,True,True,True,False,False,0.029008267029899483,8,3,0.5484052939244286,0.0009881422924901185,5882.831442687748,22.33069825657978,True,1
0.06340843906222211,0.12435539257881956,0.7853003918596373,1.0580678754944006,28233710.04999989,2,6236.82,1480,457.06,True,True,True,True,True,True,True,True,False,True,0.006192235990212354,8,3,0.324354741166893,0.0013513513513513514,19076.831114864788,25.81814465215335,True,1
0.3124155719459878,0.2914287805977266,0.018159919853814543,2.1059013608456314,7723327.910000004,4,1368.209961,1440,1361.68,True,True,True,True,False,True,True,False,False,True,0.0016534042103019387,6,2,0.1244008544795058,0.002777777777777778,5363.422159722225,17.736156876374665,False,1
0.12642158679386734,0.15201909538046265,0.4349113769338736,0.24785265049763033,3740889.2300000014,9,885.22,1009,0.0,True,True,True,True,True,True,True,True,False,False,0.008358342236544003,8,3,0.07133520591082036,0.008919722497522299,3707.5215361744313,21.92067010484767,True,1
0.12642158679386734,0.15201909538046265,0.4349113769338736,0.24785265049763033,3740889.2300000014,9,885.22,1009,0.0,True,True,True,True,True,True,True,True,False,False,0.008358342236544003,8,3,0.07133520591082036,0.008919722497522299,3707.5215361744313,21.92067010484767,True,1
0.1419073585530604,0.20492865692995688,0.6394986382112878,1.265925386710526,32634930.67000008,3,5682.16,1300,379.25,True,True,True,True,True,True,True,True,False,False,0.018597185969705665,8,3,0.24658366342357627,0.002307692307692308,25103.792823076983,25.87690477111045,True,1
0.11946631283648379,0.5560752229008209,1.0287623675238848,1.0748215292690886,4852832.460000001,4,760.71,1869,368.2,True,True,True,True,True,False,False,True,True,True,0.0683430055177224,6,1,0.3408607806522379,0.002140181915462814,2596.4860674157308,21.36763511942086,False,1
0.08132482653251133,0.2998226269914731,1.0766750574154758,1.7453762820867273,15745617.730000006,1,3150.9,1350,943.56,True,True,True,True,True,False,False,True,False,True,0.02625259282910529,6,1,0.7289112554697301,0.0007407407407407407,11663.420540740744,24.271616094825184,False,1
0.17055013857703427,0.2804494881140996,0.5848722255324834,1.020637973197144,5953425.420000001,1,1120.77,1012,282.6,True,True,True,True,True,True,True,True,False,False,0.02797484740900148,8,3,0.5179359261118086,0.0009881422924901185,5882.831442687748,22.33069825657978,True,1
0.2021487094745993,0.5118720464324991,0.466073336752823,0.7859230406682398,4852832.460000001,4,760.71,1869,368.2,True,True,True,True,True,False,True,True,True,True,0.04822659996596928,7,2,0.23601881853198425,0.002140181915462814,2596.4860674157308,21.36763511942086,False,1
0.4114423372730964,0.15026196410558523,0.30988407796363504,3.9760616133150184,15745617.730000006,1,3150.9,1350,943.56,True,True,True,False,False,True,True,False,False,True,0.019158314672126187,5,2,0.43579418967115835,0.0007407407407407407,11663.420540740744,24.271616094825184,False,1
0.47285019316937416,0.02272987210391589,0.7087880133417104,3.549666566652844,15745617.730000006,1,3150.9,1350,943.56,True,True,True,False,False,True,True,False,False,True,0.007617929114890095,5,2,0.6021840393075002,0.0007407407407407407,11663.420540740744,24.271616094825184,False,1
