address,lat,lng,district,publand,robbery,urban_proj,monitor,idle,school,park,mrt,rob,output,STD_publand,STD_robbery,STD_urban_proj,STD_monitor,STD_idle,DistanceType1_School,DistanceType1_Park,DistanceType1_MRT,DistanceType1_ROB,DistanceType2_School,DistanceType2_Park,DistanceType2_MRT,DistanceType2_ROB,MonitorType1,MonitorType2,Feature1 ,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8
臺北市大安區住安里17鄰四維路124巷30號,25.031682,121.547079,大安區,7146045.27,1,1136.14,1851,139.95,0.03777162544,0.2561752907,0.4166789014,1.705919847,1,-0.5239947346,-0.7016062578,-0.6546866293,1.399568561,-0.5577902805,1,1,1,1,1,0,1,0,1,1,0.004031850521,6,2,0.3553129087,0.0009216206627,3860.64034,22.68600766,0
臺北市大安區敦煌里17鄰仁愛路四段266巷12號,25.03685,121.552831,大安區,7146045.27,1,1136.14,1851,139.95,0.1044891274,0.2361325346,0.2276170834,2.426531583,1,-0.5239947346,-0.7016062578,-0.6546866293,1.399568561,-0.5577902805,1,1,1,1,1,0,1,0,1,1,0.005616060598,6,2,0.2841193727,0.001310930082,3860.64034,22.68600766,0
臺北市萬華區新和里29鄰國興路104號,25.027434,121.505405,萬華區,3740889.23,9,885.22,1009,0,0.09733469855,0.1864596366,0.8850378128,0.7076491947,1,-0.8483699905,2.6915004,-0.7762751118,-1.033240729,-0.932768957,1,1,1,1,1,1,0,1,0,0,0.01606254464,7,2,0.1168832148,0.0007013371603,3707.521536,21.9206701,0
臺北市北投區清江里24鄰三合街二段489號,25.126138,121.500981,北投區,32634930.67,3,5682.16,1300,379.25,0.4645502206,0.23159934,0.004137517108,0.7016563504,1,1.904077174,0.1466704068,1.548181508,-0.1924479696,0.0833844054,0,1,1,1,0,0,1,1,0,0,0.0004451534982,5,1,0.1750717694,0.0005397356541,25103.79282,25.87690477,0
臺北市松山區龍田里10鄰延壽街440號,25.056145,121.555758,松山區,4973385.2,0,928.78,1129,97.8,0.06793798734,0.1523998055,0.5865222234,2.576038662,1,-0.7309623912,-1.12574459,-0.7551672116,-0.6865220653,-0.6707259805,1,1,1,0,1,1,0,0,0,0,0.006072696292,5,2,0.8068600162,0.002281699435,4405.124181,22.14221702,0
臺北市南港區三重里15鄰南港路一段4之1號,25.054863,121.619828,南港區,9032463.69,0,2184.24,738,0,0.16425696,0.2483729905,0.1902042158,1.052874787,1,-0.3442944651,-1.12574459,-0.1468080685,-1.816247044,-0.932768957,1,1,1,1,1,0,1,1,0,0,0.007759759942,7,2,0.6028341663,0.001426659603,12239.11069,23.70535894,0
臺北市北投區大同里7鄰光明路71號,25.133012,121.500201,北投區,32634930.67,3,5682.16,1300,379.25,0.07863274357,0.1525666553,0.2206398927,0.9183751117,1,1.904077174,0.1466704068,1.548181508,-0.1924479696,0.0833844054,1,1,1,1,1,1,1,1,0,0,0.002646958254,8,3,0.1129598229,0.0007064423936,25103.79282,25.87690477,1
臺北市內湖區金湖里20鄰康寧路三段71號,25.072189,121.608698,內湖區,11254761.59,1,3157.87,1370,0,0.07955789098,0.1193702403,0.09858608499,1.195479973,1,-0.1325983074,-0.7016062578,0.3249845116,0.009804584201,-0.932768957,1,1,1,1,1,1,1,1,0,1,0.000936256725,8,3,0.1487571081,0.000872613119,8215.154445,24.29395488,1
臺北市內湖區五分里20鄰康寧路三段269號,25.066286,121.611232,內湖區,11254761.59,1,3157.87,1370,0,0.04720082595,0.09556866354,0.04887729329,1.193297879,1,-0.1325983074,-0.7016062578,0.3249845116,0.009804584201,-0.932768957,1,1,1,1,1,1,1,1,0,1,0.0002204815527,8,3,0.09582339139,0.00087102035,8215.154445,24.29395488,1
臺北市松山區富錦里21鄰三民路170號,25.062163,121.56328,松山區,4973385.2,0,928.78,1129,97.8,0.1293143336,0.2349494615,0.6602093012,2.434861547,1,-0.7309623912,-1.12574459,-0.7551672116,-0.6865220653,-0.6707259805,1,1,1,1,1,0,0,0,0,0,0.02005869886,5,1,1.024473096,0.002156653274,4405.124181,22.14221702,0
臺北市萬華區菜園里4鄰西昌街29巷27號,25.04277,121.501425,萬華區,3740889.23,9,885.22,1009,0,0.2625673971,0.2407950187,0.4490345911,0.3085316505,1,-0.8483699905,2.6915004,-0.7762751118,-1.033240729,-0.932768957,1,1,1,1,0,0,1,1,0,0,0.02839017669,6,1,0.0952397007,0.0003057796338,3707.521536,21.9206701,0
臺北市南港區東明里4鄰東明街120號,25.054469,121.600646,南港區,9032463.69,0,2184.24,738,0,0.05428251542,0.01681067873,0.7843238784,3.05942449,1,-0.3442944651,-1.12574459,-0.1468080685,-1.816247044,-0.932768957,1,1,1,0,1,1,0,0,0,0,0.0007157158744,5,2,0.8554170725,0.004145561639,12239.11069,23.70535894,0
臺北市南港區東明里4鄰東明街120號,25.054469,121.600646,南港區,9032463.69,0,2184.24,738,0,0.05428251542,0.01681067873,0.7843238784,3.05942449,1,-0.3442944651,-1.12574459,-0.1468080685,-1.816247044,-0.932768957,1,1,1,0,1,1,0,0,0,0,0.0007157158744,5,2,0.8554170725,0.004145561639,12239.11069,23.70535894,0
臺北市南港區東明里4鄰東明街120號,25.054469,121.600646,南港區,9032463.69,0,2184.24,738,0,0.05428251542,0.01681067873,0.7843238784,3.05942449,1,-0.3442944651,-1.12574459,-0.1468080685,-1.816247044,-0.932768957,1,1,1,0,1,1,0,0,0,0,0.0007157158744,5,2,0.8554170725,0.004145561639,12239.11069,23.70535894,0
